,-- 第一课 --,
此れ,これ,这个
本,ほん,书
其れ,それ,那个
ノート,,note，笔记本
彼れ,あれ,那个
教科書,きょうかしょ,教科书
何,なに,什么
机,つくえ,桌子
椅子,いす,椅子
窓,まど,窗户
辞書,じしょ,辞典
どれ,,哪个
ペン,,pen，钢笔
今日,きょう,今天
昨日,きのう,昨天
明日,あした,明天
日曜日,にちようび,星期日
月曜日,げつようび,星期一
火曜日,かようび,星期二
水曜日,すいようび,星期三
木曜日,もくようび,星期四
金曜日,きんようび,星期五
土曜日,どようび,星期六
いや,,不，不是
そうだ,,是，是的
,,
,-- 第二课 --,
何曜日,なんようび,星期几
一昨日,おととい,前天
いいえ,,不，不是
明後日,あさって,后天
私,わたし,我
中国人,ちゅうごくじん,中国人
大学生,だいがくせい,大学生
あなた,,你
はい,,对，是
友だち,ともだち,朋友
どなた,,哪位，谁
先生,せんせい,老师
あの方,あのかた,那位，他
あの人,あのひと,那个人，他
誰,だれ,谁
兄,あに,哥哥
お兄さん,おにいさん,哥哥（尊称）
以前,いぜん,以前，过去
労働者,ろうどうしゃ,工人
今,いま,现在
中学校,ちゅうがっこう,中学
鉛筆,えんぴつ,铅笔
あの,,那个
鞄,かばん,书包
帽子,ぼうし,帽子
みんな,,大家，都
其の,その,那个
オーバ,,over，大衣，外套
どの,,哪个
ボールペン,,ballpen，圆珠笔
此の,この,这个
,,
,-- 第三课 --,
家,いえ,家（house）
ある,,有，在
木,き,树，木头
子供,こども,孩子，小孩儿
いる,,有，在
鳥,とり,鸟
門,もん,门
前,まえ,前面
ない,,没有，不在
庭,にわ,院子
上,うえ,上，上面
下,した,下，下面
いない,,没有，不在
家,うち,家（home）
学校,がっこう,学校
映画館,えいがかん,电影院
後ろ,うしろ,后面
父,ちち,父亲
母,はは,母亲
そこ,,那里
ここ,,这里
自転車,じてんしゃ,自行车
どこ,,哪里
あそこ,,那里，那儿（远称）
東,ひがし,东，东边
どちら,,哪边，哪面
こちら,,这边，这面
南,みなみ,南，南边
あちら,,那边
部屋,へや,屋子，房间
中,なか,里面，中间
教室,きょうしつ,教室
いくつ,,几个
一つ,ひとつ,一个
二つ,ふたつ,两个
三つ,みっつ,三个
十,とお,十，十个
図書館,としょかん,图书馆
外,そと,外边
学生,がくせい,学生
何人,なんにん,多少人
一人,ひとり,一个人
二人,ふたり,两个人
三人,さんにん,三个人
十人,じゅうにん,十个人
,,
,-- 第四课 --,
一日,いちにち,一天
生活,せいかつ,生活
毎朝,まいあさ,每天早晨
起きる,おきる,起床
そして,,然后，并且
寮,りょう,宿舍
ラジオ体操,ラジオたいそう,广播体操
する,,做，干
それから,,然后，其次
食堂,しょくどう,食堂，餐厅
朝ご飯,あさごはん,早饭
食べる,たべる,吃
ごろ,,（时间、日期）前后，左右
出る,でる,出（去、来），离开
行く,いく,去
来る,くる,来
授業,じゅぎょう,课，上课
半,はん,~半
始まる,はじまる,开始
いつも,,总是，经常
熱心,ねっしん,热心，热情
教えぅ,おしえる,教
一生懸命,いっしょけんめい,拼命地，努力地
勉強する,べんきょうする,学习，用功
終わる,おわる,完，结束
昼休み,ひるやすみ,午休
時間,じかん,~小时
午後,ごご,下午，午后
課外活動,かがいかつどう,课外活动
ある,,有的，某
人,ひと,人
運動場,うんどうじょう,运动场，操场
バスケットボール,,basketball，篮球
バレーボール,,volleball
など,,等等
やる,,打（球），做，干，搞
芝生,しばふ,草坪，草地
歌,うた,歌，歌曲
歌う,うたう,唱
クラブ,,俱乐部，社团
絵,え,画，图画
字,じ,字
書く,かく,写，画
夜,よる,夜里，晚上
自習,じしゅう,自习
時間,じかん,时间
ほとんど,,大部分，大都，几乎
閲覧室,えつらんしつ,阅览室
復習,ふくしゅう,复习
予習,よしゅう,预习
よく,,常，常常，很好地
日本語,にほんご,日语
録音,ろくおん,录音
聞く,きく,听，问，闻
寝る前,ねるまえ,睡觉之前
日記をつける,にっきをつける,记日记
,,
,-- 第五课 --,
会社員　かいしゃいん　公司职员
ラジオ　　radio，收音机
中国語　ちゅうごくご　中文，汉语
,,
,-- 第六课 --,
日本,にほん,日本
地図,ちず,地图
わが国,わがくに,我国
方,ほう,方向，方位
細い,ほそい,细，细的，窄
長い,ながい,长，
島国,しまぐに,到过
大きい,おおきい,大，大的
島,しま,岛，岛屿
まん中,まんなか,正中间，中间
本州,ほんしゅう,本州
北側,きたがわ,北侧
北海道,ほっかいどう,北海道
西南海上,せいなんかいじょう,西南面的海上
最も,もっとも,最
小さい,ちいさい,小，小的
沢山,たくさん,许多，很多
日本列島,にほんれっとう,日本列岛
南西,なんせい,西南
太平洋,たいへいよう,太平洋
アジア大陸,アジアたいりく,亚洲大陆
間,あいだ,期间，间隔
日本海,にほんかい,日本海
東中国海,ひがしちゅごくかい,东中国海
山,やま,山
多い,おおい,多，多的
川,かわ,河
日本全体,にほんぜんたい,整个日本
山脈,さんみゃく,山脉
中央,ちゅうおう,中央，中间
高い,たかい,高，高的
一番,いちばん,最
富士山,ふじさん,富士山
又・亦,また,并且，还
日本一,にほんいち,在日本首屈一指
美しい,うつくしい,美丽的，漂亮的
しかし,,然而，可是，不过
短い,みじかい,短，短的
急,きゅう,急，湍急，陡峭
広さ,ひろさ,宽度，（面积的）大小
平方キロメートル,へいほうキロメートル,平方公里
人口,じんこう,人口
一億,いちおく,一亿
